post_id,post_time,likes,comments,shares
1,6,80,10,5
2,7,95,12,6
3,8,120,15,10
4,9,150,18,12
5,10,180,22,15
6,11,220,28,20
7,12,260,35,25
8,13,240,32,22
9,14,280,38,30
10,15,310,42,35
11,16,340,48,40
12,17,380,55,45
13,18,420,62,50
14,19,460,70,58
15,20,500,78,65
16,21,470,72,60
17,22,410,60,52
18,23,350,50,45
19,0,300,42,38
20,1,260,35,30
21,2,220,30,25
22,3,200,28,22
23,4,180,25,20
24,5,160,22,18
25,6,90,12,7
26,7,110,14,9
27,8,135,18,12
28,9,165,22,15
29,10,195,26,18
30,11,235,32,22
31,12,275,38,27
32,13,255,35,24
33,14,295,42,30
34,15,325,46,35
35,16,360,52,40
36,17,400,58,46
37,18,440,65,52
38,19,480,72,60
39,20,520,80,68
40,21,490,75,62
41,22,430,62,55
42,23,370,55,48
43,0,320,45,40
44,1,280,38,32
45,2,240,32,28
46,3,215,30,25
47,4,195,28,22
48,5,175,25,20
49,6,100,14,8
50,7,120,16,10
51,8,145,20,14
52,9,175,24,18
53,10,205,28,22
54,11,245,34,26
55,12,285,40,30
56,13,265,36,28
57,14,305,44,32
58,15,335,48,36
59,16,370,54,42
60,17,410,60,48
